panel_task_id,task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
0,0,wt_to_G190E,holo,1,em,,,,,,,em
1,1,wt_to_G190E,holo,1,equil,0,,,,,,eq_lambda0
2,2,wt_to_G190E,holo,1,extract,0,,,,,,snapshots/lambda0
3,3,wt_to_G190E,holo,1,equil,1,,,,,,eq_lambda1
4,4,wt_to_G190E,holo,1,extract,1,,,,,,snapshots/lambda1
5,5,wt_to_G190E,holo,1,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
6,6,wt_to_G190E,holo,1,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
7,7,wt_to_G190E,holo,1,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
8,8,wt_to_G190E,holo,1,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
9,9,wt_to_G190E,holo,1,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
10,10,wt_to_G190E,holo,1,switch,1,rev,0,19,100.000,500.0,switches/rev_bundle000
11,11,wt_to_G190E,holo,1,switch,1,rev,20,39,4120.202,500.0,switches/rev_bundle020
12,12,wt_to_G190E,holo,1,switch,1,rev,40,59,8140.404,500.0,switches/rev_bundle040
13,13,wt_to_G190E,holo,1,switch,1,rev,60,79,12160.606,500.0,switches/rev_bundle060
14,14,wt_to_G190E,holo,1,switch,1,rev,80,99,16180.808,500.0,switches/rev_bundle080
15,0,wt_to_G190E,holo,2,em,,,,,,,em
16,1,wt_to_G190E,holo,2,equil,0,,,,,,eq_lambda0
17,2,wt_to_G190E,holo,2,extract,0,,,,,,snapshots/lambda0
18,3,wt_to_G190E,holo,2,equil,1,,,,,,eq_lambda1
19,4,wt_to_G190E,holo,2,extract,1,,,,,,snapshots/lambda1
20,5,wt_to_G190E,holo,2,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
21,6,wt_to_G190E,holo,2,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
22,7,wt_to_G190E,holo,2,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
23,8,wt_to_G190E,holo,2,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
24,9,wt_to_G190E,holo,2,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
25,10,wt_to_G190E,holo,2,switch,1,rev,0,19,100.000,500.0,switches/rev_bundle000
26,11,wt_to_G190E,holo,2,switch,1,rev,20,39,4120.202,500.0,switches/rev_bundle020
27,12,wt_to_G190E,holo,2,switch,1,rev,40,59,8140.404,500.0,switches/rev_bundle040
28,13,wt_to_G190E,holo,2,switch,1,rev,60,79,12160.606,500.0,switches/rev_bundle060
29,14,wt_to_G190E,holo,2,switch,1,rev,80,99,16180.808,500.0,switches/rev_bundle080
30,0,wt_to_G190E,holo,3,em,,,,,,,em
31,1,wt_to_G190E,holo,3,equil,0,,,,,,eq_lambda0
32,2,wt_to_G190E,holo,3,extract,0,,,,,,snapshots/lambda0
33,3,wt_to_G190E,holo,3,equil,1,,,,,,eq_lambda1
34,4,wt_to_G190E,holo,3,extract,1,,,,,,snapshots/lambda1
35,5,wt_to_G190E,holo,3,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
36,6,wt_to_G190E,holo,3,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
37,7,wt_to_G190E,holo,3,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
38,8,wt_to_G190E,holo,3,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
39,9,wt_to_G190E,holo,3,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
40,10,wt_to_G190E,holo,3,switch,1,rev,0,19,100.000,500.0,switches/rev_bundle000
41,11,wt_to_G190E,holo,3,switch,1,rev,20,39,4120.202,500.0,switches/rev_bundle020
42,12,wt_to_G190E,holo,3,switch,1,rev,40,59,8140.404,500.0,switches/rev_bundle040
43,13,wt_to_G190E,holo,3,switch,1,rev,60,79,12160.606,500.0,switches/rev_bundle060
44,14,wt_to_G190E,holo,3,switch,1,rev,80,99,16180.808,500.0,switches/rev_bundle080
45,0,wt_to_G190E,apo,1,em,,,,,,,em
46,1,wt_to_G190E,apo,1,equil,0,,,,,,eq_lambda0
47,2,wt_to_G190E,apo,1,extract,0,,,,,,snapshots/lambda0
48,3,wt_to_G190E,apo,1,equil,1,,,,,,eq_lambda1
49,4,wt_to_G190E,apo,1,extract,1,,,,,,snapshots/lambda1
50,5,wt_to_G190E,apo,1,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
51,6,wt_to_G190E,apo,1,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
52,7,wt_to_G190E,apo,1,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
53,8,wt_to_G190E,apo,1,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
54,9,wt_to_G190E,apo,1,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
55,10,wt_to_G190E,apo,1,switch,1,rev,0,19,100.000,500.0,switches/rev_bundle000
56,11,wt_to_G190E,apo,1,switch,1,rev,20,39,4120.202,500.0,switches/rev_bundle020
57,12,wt_to_G190E,apo,1,switch,1,rev,40,59,8140.404,500.0,switches/rev_bundle040
58,13,wt_to_G190E,apo,1,switch,1,rev,60,79,12160.606,500.0,switches/rev_bundle060
59,14,wt_to_G190E,apo,1,switch,1,rev,80,99,16180.808,500.0,switches/rev_bundle080
60,0,wt_to_G190E,apo,2,em,,,,,,,em
61,1,wt_to_G190E,apo,2,equil,0,,,,,,eq_lambda0
62,2,wt_to_G190E,apo,2,extract,0,,,,,,snapshots/lambda0
63,3,wt_to_G190E,apo,2,equil,1,,,,,,eq_lambda1
64,4,wt_to_G190E,apo,2,extract,1,,,,,,snapshots/lambda1
65,5,wt_to_G190E,apo,2,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
66,6,wt_to_G190E,apo,2,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
67,7,wt_to_G190E,apo,2,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
68,8,wt_to_G190E,apo,2,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
69,9,wt_to_G190E,apo,2,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
70,10,wt_to_G190E,apo,2,switch,1,rev,0,19,100.000,500.0,switches/rev_bundle000
71,11,wt_to_G190E,apo,2,switch,1,rev,20,39,4120.202,500.0,switches/rev_bundle020
72,12,wt_to_G190E,apo,2,switch,1,rev,40,59,8140.404,500.0,switches/rev_bundle040
73,13,wt_to_G190E,apo,2,switch,1,rev,60,79,12160.606,500.0,switches/rev_bundle060
74,14,wt_to_G190E,apo,2,switch,1,rev,80,99,16180.808,500.0,switches/rev_bundle080
75,0,wt_to_G190E,apo,3,em,,,,,,,em
76,1,wt_to_G190E,apo,3,equil,0,,,,,,eq_lambda0
77,2,wt_to_G190E,apo,3,extract,0,,,,,,snapshots/lambda0
78,3,wt_to_G190E,apo,3,equil,1,,,,,,eq_lambda1
79,4,wt_to_G190E,apo,3,extract,1,,,,,,snapshots/lambda1
80,5,wt_to_G190E,apo,3,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
81,6,wt_to_G190E,apo,3,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
82,7,wt_to_G190E,apo,3,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
83,8,wt_to_G190E,apo,3,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
84,9,wt_to_G190E,apo,3,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
