panel_task_id,task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
0,0,wt_to_G190E,holo,1,em,,,,,,,em
1,1,wt_to_G190E,holo,1,equil,0,,,,,,eq_lambda0
2,2,wt_to_G190E,holo,1,extract,0,,,,,,snapshots/lambda0
3,3,wt_to_G190E,holo,1,equil,1,,,,,,eq_lambda1
4,4,wt_to_G190E,holo,1,extract,1,,,,,,snapshots/lambda1
5,5,wt_to_G190E,holo,1,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
6,6,wt_to_G190E,holo,1,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
7,7,wt_to_G190E,holo,1,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
8,8,wt_to_G190E,holo,1,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
9,9,wt_to_G190E,holo,1,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
10,10,wt_to_G190E,holo,1,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
11,11,wt_to_G190E,holo,1,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
12,12,wt_to_G190E,holo,1,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
13,13,wt_to_G190E,holo,1,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
14,14,wt_to_G190E,holo,1,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
15,15,wt_to_G190E,holo,1,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
16,16,wt_to_G190E,holo,1,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
17,17,wt_to_G190E,holo,1,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
18,18,wt_to_G190E,holo,1,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
19,0,wt_to_G190E,holo,2,em,,,,,,,em
20,1,wt_to_G190E,holo,2,equil,0,,,,,,eq_lambda0
21,2,wt_to_G190E,holo,2,extract,0,,,,,,snapshots/lambda0
22,3,wt_to_G190E,holo,2,equil,1,,,,,,eq_lambda1
23,4,wt_to_G190E,holo,2,extract,1,,,,,,snapshots/lambda1
24,5,wt_to_G190E,holo,2,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
25,6,wt_to_G190E,holo,2,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
26,7,wt_to_G190E,holo,2,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
27,8,wt_to_G190E,holo,2,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
28,9,wt_to_G190E,holo,2,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
29,10,wt_to_G190E,holo,2,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
30,11,wt_to_G190E,holo,2,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
31,12,wt_to_G190E,holo,2,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
32,13,wt_to_G190E,holo,2,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
33,14,wt_to_G190E,holo,2,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
34,15,wt_to_G190E,holo,2,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
35,16,wt_to_G190E,holo,2,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
36,17,wt_to_G190E,holo,2,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
37,18,wt_to_G190E,holo,2,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
38,0,wt_to_G190E,holo,3,em,,,,,,,em
39,1,wt_to_G190E,holo,3,equil,0,,,,,,eq_lambda0
40,2,wt_to_G190E,holo,3,extract,0,,,,,,snapshots/lambda0
41,3,wt_to_G190E,holo,3,equil,1,,,,,,eq_lambda1
42,4,wt_to_G190E,holo,3,extract,1,,,,,,snapshots/lambda1
43,5,wt_to_G190E,holo,3,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
44,6,wt_to_G190E,holo,3,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
45,7,wt_to_G190E,holo,3,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
46,8,wt_to_G190E,holo,3,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
47,9,wt_to_G190E,holo,3,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
48,10,wt_to_G190E,holo,3,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
49,11,wt_to_G190E,holo,3,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
50,12,wt_to_G190E,holo,3,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
51,13,wt_to_G190E,holo,3,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
52,14,wt_to_G190E,holo,3,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
53,15,wt_to_G190E,holo,3,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
54,16,wt_to_G190E,holo,3,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
55,17,wt_to_G190E,holo,3,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
56,18,wt_to_G190E,holo,3,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
57,0,wt_to_G190E,apo,1,em,,,,,,,em
58,1,wt_to_G190E,apo,1,equil,0,,,,,,eq_lambda0
59,2,wt_to_G190E,apo,1,extract,0,,,,,,snapshots/lambda0
60,3,wt_to_G190E,apo,1,equil,1,,,,,,eq_lambda1
61,4,wt_to_G190E,apo,1,extract,1,,,,,,snapshots/lambda1
62,5,wt_to_G190E,apo,1,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
63,6,wt_to_G190E,apo,1,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
64,7,wt_to_G190E,apo,1,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
65,8,wt_to_G190E,apo,1,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
66,9,wt_to_G190E,apo,1,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
67,10,wt_to_G190E,apo,1,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
68,11,wt_to_G190E,apo,1,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
69,12,wt_to_G190E,apo,1,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
70,13,wt_to_G190E,apo,1,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
71,14,wt_to_G190E,apo,1,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
72,15,wt_to_G190E,apo,1,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
73,16,wt_to_G190E,apo,1,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
74,17,wt_to_G190E,apo,1,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
75,18,wt_to_G190E,apo,1,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
76,0,wt_to_G190E,apo,2,em,,,,,,,em
77,1,wt_to_G190E,apo,2,equil,0,,,,,,eq_lambda0
78,2,wt_to_G190E,apo,2,extract,0,,,,,,snapshots/lambda0
79,3,wt_to_G190E,apo,2,equil,1,,,,,,eq_lambda1
80,4,wt_to_G190E,apo,2,extract,1,,,,,,snapshots/lambda1
81,5,wt_to_G190E,apo,2,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
82,6,wt_to_G190E,apo,2,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
83,7,wt_to_G190E,apo,2,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
