model,params,cv_rmse,cv_mae,cv_r2
elastic_net,"{""alpha"": 0.178, ""l1_ratio"": 0.5}",0.7557219516996491,0.6570816173399537,0.2849804944212312
elastic_net,"{""alpha"": 0.1, ""l1_ratio"": 0.8}",0.7581800925474641,0.6638762984764661,0.28032143388315445
elastic_net,"{""alpha"": 0.316, ""l1_ratio"": 0.5}",0.7764124971691698,0.6800087709399415,0.24529218205764214
elastic_net,"{""alpha"": 0.133, ""l1_ratio"": 0.8}",0.7800063325940232,0.6774125171522533,0.23828927316868853
ridge,"{""alpha"": 31.6}",0.7809303327803314,0.699118145966917,0.23648355006290767
lasso,"{""alpha"": 0.1}",0.7858794855077348,0.6857937052575841,0.2267752999871976
elastic_net,"{""alpha"": 1.0, ""l1_ratio"": 0.2}",0.7928781420803689,0.692283516392322,0.2129420584758478
elastic_net,"{""alpha"": 0.178, ""l1_ratio"": 0.8}",0.7953857488072336,0.6889069824288488,0.2079557871934019
lasso,"{""alpha"": 0.133}",0.8035195317118882,0.6891217816311426,0.19167373555001554
lasso,"{""alpha"": 0.178}",0.8052062331805616,0.7040429212296099,0.18827659077905978
elastic_net,"{""alpha"": 0.316, ""l1_ratio"": 0.8}",0.8137167435783506,0.7086753510093953,0.17102712664501096
elastic_net,"{""alpha"": 0.562, ""l1_ratio"": 0.5}",0.8290068747277209,0.7285642280819549,0.139580828604564
lasso,"{""alpha"": 0.316}",0.8351972457754593,0.7287900761861595,0.12668298553174762
ridge,"{""alpha"": 56.2}",0.8367148941030633,0.7634083804760206,0.12350626936414688
ridge,"{""alpha"": 100.0}",0.8830603537637249,0.8134827373109643,0.023719559750258745
elastic_net,"{""alpha"": 0.562, ""l1_ratio"": 0.8}",0.8927208493102995,0.8104498357206918,0.0022421118760918013
elastic_net,"{""alpha"": 1.78, ""l1_ratio"": 0.2}",0.8965699002085018,0.8190237945206638,-0.006380292470191451
elastic_net,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.9318460506192754,0.8575555352444618,-0.08713168149488548
lasso,"{""alpha"": 0.562}",0.9604247643006436,0.8878661856497385,-0.15483653193005442
lasso,"{""alpha"": 1.0}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
lasso,"{""alpha"": 1.78}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
lasso,"{""alpha"": 3.16}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
lasso,"{""alpha"": 5.62}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
lasso,"{""alpha"": 10.0}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 1.0, ""l1_ratio"": 0.8}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 1.78, ""l1_ratio"": 0.5}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 1.78, ""l1_ratio"": 0.8}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 3.16, ""l1_ratio"": 0.5}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 3.16, ""l1_ratio"": 0.8}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 5.62, ""l1_ratio"": 0.2}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 5.62, ""l1_ratio"": 0.5}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 5.62, ""l1_ratio"": 0.8}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 10.0, ""l1_ratio"": 0.2}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 10.0, ""l1_ratio"": 0.5}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 10.0, ""l1_ratio"": 0.8}",0.9682002691642551,0.8978963176918598,-0.17361111111111094
elastic_net,"{""alpha"": 3.16, ""l1_ratio"": 0.2}",0.9682441259961372,0.8979299454971813,-0.1737174362848981
