mutation,replicate,time_ns,metric,metric_value
WT,1,0.0,LYS102-DOR,5.195623039711904
WT,1,0.20040080160320642,LYS102-DOR,4.567503290599532
WT,1,0.40080160320641284,LYS102-DOR,3.90423251310697
WT,1,0.6012024048096193,LYS102-DOR,3.6089498361289385
WT,1,0.8016032064128257,LYS102-DOR,4.551426984811868
WT,1,1.0020040080160322,LYS102-DOR,3.6827884018949946
WT,1,1.2024048096192386,LYS102-DOR,3.5281786541697833
WT,1,1.402805611222445,LYS102-DOR,3.7072125667398885
WT,1,1.6032064128256514,LYS102-DOR,5.523102481290145
WT,1,1.8036072144288577,LYS102-DOR,4.2920506539743055
WT,1,2.0040080160320644,LYS102-DOR,4.373598704774803
WT,1,2.2044088176352705,LYS102-DOR,3.9473473770387444
WT,1,2.404809619238477,LYS102-DOR,3.8423399911268774
WT,1,2.6052104208416833,LYS102-DOR,3.804284430847924
WT,1,2.80561122244489,LYS102-DOR,4.109475224456098
WT,1,3.006012024048096,LYS102-DOR,4.39537049827509
WT,1,3.2064128256513027,LYS102-DOR,3.299338453747389
WT,1,3.4068136272545093,LYS102-DOR,3.751074693873252
WT,1,3.6072144288577155,LYS102-DOR,4.529271188189088
WT,1,3.807615230460922,LYS102-DOR,4.0083085187423295
WT,1,4.008016032064129,LYS102-DOR,4.334484697943648
WT,1,4.208416833667335,LYS102-DOR,4.351863924223863
WT,1,4.408817635270541,LYS102-DOR,3.777256470906565
WT,1,4.609218436873747,LYS102-DOR,3.5556496686222596
WT,1,4.809619238476954,LYS102-DOR,3.8170336646612077
WT,1,5.01002004008016,LYS102-DOR,3.870558816308449
WT,1,5.210420841683367,LYS102-DOR,4.334305305224039
WT,1,5.410821643286574,LYS102-DOR,4.424302209487381
WT,1,5.61122244488978,LYS102-DOR,4.274603340106215
WT,1,5.811623246492986,LYS102-DOR,3.8885169031986813
WT,1,6.012024048096192,LYS102-DOR,3.6458883006467198
WT,1,6.212424849699399,LYS102-DOR,3.6101811076593116
WT,1,6.412825651302605,LYS102-DOR,3.8277503671132576
WT,1,6.613226452905812,LYS102-DOR,3.9708366798575074
WT,1,6.813627254509019,LYS102-DOR,3.8640623190588994
WT,1,7.014028056112225,LYS102-DOR,3.798574042232434
WT,1,7.214428857715431,LYS102-DOR,3.7727718411690345
WT,1,7.414829659318637,LYS102-DOR,3.573390837896494
WT,1,7.615230460921844,LYS102-DOR,4.097405986314758
