mutation,replicate,time_ns,metric_value,metric
WT,1,0.0,5.195623039711904,LYS102-DOR
WT,1,0.200401,4.567502633961463,LYS102-DOR
WT,1,0.400802,3.90423192844727,LYS102-DOR
WT,1,0.558659,3.671635865124061,LYS102-DOR
WT,1,0.601202,3.608950432599946,LYS102-DOR
WT,1,0.801603,4.551426014060405,LYS102-DOR
WT,1,1.002004,3.682788436640539,LYS102-DOR
WT,1,1.117318,3.5938233525179513,LYS102-DOR
WT,1,1.202405,3.528178824252,LYS102-DOR
WT,1,1.402806,3.707216089566322,LYS102-DOR
WT,1,1.603206,5.52309874055692,LYS102-DOR
WT,1,1.675978,5.076070360405542,LYS102-DOR
WT,1,1.803607,4.292051971199761,LYS102-DOR
WT,1,2.004008,4.373598698250959,LYS102-DOR
WT,1,2.204409,3.947347281482023,LYS102-DOR
WT,1,2.234637,3.931508206807917,LYS102-DOR
WT,1,2.40481,3.8423399188213128,LYS102-DOR
WT,1,2.60521,3.8042845107646004,LYS102-DOR
WT,1,2.793296,4.090720346824126,LYS102-DOR
WT,1,2.805611,4.109474885694317,LYS102-DOR
WT,1,3.006012,4.395370463967658,LYS102-DOR
WT,1,3.206413,3.2993388467579177,LYS102-DOR
WT,1,3.351955,3.6274143601013047,LYS102-DOR
WT,1,3.406814,3.7510761413187295,LYS102-DOR
WT,1,3.607214,4.5292695228485895,LYS102-DOR
WT,1,3.807615,4.008309117849399,LYS102-DOR
WT,1,3.910615,4.175952914463824,LYS102-DOR
WT,1,4.008016,4.334484645755459,LYS102-DOR
WT,1,4.208417,4.351863447299677,LYS102-DOR
WT,1,4.408818,3.7772560675821847,LYS102-DOR
WT,1,4.469274,3.7104027379960733,LYS102-DOR
WT,1,4.609218,3.555650151725088,LYS102-DOR
WT,1,4.809619,3.8170333536142516,LYS102-DOR
WT,1,5.01002,3.8705588056034186,LYS102-DOR
WT,1,5.027933,3.9120111069303163,LYS102-DOR
WT,1,5.210421,4.334305376321593,LYS102-DOR
WT,1,5.410822,4.424301943023394,LYS102-DOR
WT,1,5.586592,4.293002217370468,LYS102-DOR
WT,1,5.611222,4.2746036724377054,LYS102-DOR
WT,1,5.811623,3.8885173780849986,LYS102-DOR
WT,1,6.012024,3.645888358877584,LYS102-DOR
WT,1,6.145251,3.6221500698377804,LYS102-DOR
WT,1,6.212425,3.610181270836255,LYS102-DOR
WT,1,6.412826,3.8277506160834416,LYS102-DOR
WT,1,6.613226,3.9708363564824407,LYS102-DOR
WT,1,6.703911,3.9225195849515444,LYS102-DOR
WT,1,6.813627,3.8640624546623377,LYS102-DOR
WT,1,7.014028,3.798574060569152,LYS102-DOR
WT,1,7.214429,3.7727716996085223,LYS102-DOR
WT,1,7.26257,3.7248756792245907,LYS102-DOR
WT,1,7.41483,3.573391728722247,LYS102-DOR
WT,1,7.61523,4.097404781079916,LYS102-DOR
WT,1,7.815631,4.042778211992826,LYS102-DOR
WT,1,7.821229,4.059799224370708,LYS102-DOR
WT,1,8.016032,4.6521382237740125,LYS102-DOR
WT,1,8.216433,4.892163267593919,LYS102-DOR
WT,1,8.379888,4.3374771669642875,LYS102-DOR
WT,1,8.416834,4.212101482891101,LYS102-DOR
WT,1,8.617234,4.085722727227644,LYS102-DOR
WT,1,8.817635,4.670569171199007,LYS102-DOR
WT,1,8.938547,4.667013392594506,LYS102-DOR
WT,1,9.018036,4.664675256775636,LYS102-DOR
WT,1,9.218437,4.3181478911762285,LYS102-DOR
WT,1,9.418838,4.6098418227521565,LYS102-DOR
WT,1,9.497207,4.379252552761099,LYS102-DOR
WT,1,9.619238,4.020194261775142,LYS102-DOR
WT,1,9.819639,4.553219361324359,LYS102-DOR
WT,1,10.02004,4.182749487795735,LYS102-DOR
WT,1,10.055866,4.3728040195873605,LYS102-DOR
WT,1,10.220441,5.245865423302163,LYS102-DOR
WT,1,10.420842,5.311072264134475,LYS102-DOR
WT,1,10.614525,5.168265090376068,LYS102-DOR
WT,1,10.621242,5.163312483352555,LYS102-DOR
WT,1,10.821643,4.562067958824251,LYS102-DOR
WT,1,11.022044,4.734826332804645,LYS102-DOR
WT,1,11.173184,5.257444690840432,LYS102-DOR
WT,1,11.222445,5.42778063053093,LYS102-DOR
WT,1,11.422846,4.433132489777531,LYS102-DOR
WT,1,11.623246,5.376670174246513,LYS102-DOR
WT,1,11.731844,5.508596672217389,LYS102-DOR
WT,1,11.823647,5.620118893502007,LYS102-DOR
WT,1,12.024048,4.963073435523009,LYS102-DOR
WT,1,12.224449,5.463140668606742,LYS102-DOR
WT,1,12.290503,5.308167506052813,LYS102-DOR
WT,1,12.42485,4.992968803391425,LYS102-DOR
WT,1,12.625251,4.970552781150599,LYS102-DOR
WT,1,12.825651,5.27835810056849,LYS102-DOR
WT,1,12.849162,5.199865024403443,LYS102-DOR
WT,1,13.026052,4.609294603372771,LYS102-DOR
WT,1,13.226453,5.0417063272340705,LYS102-DOR
WT,1,13.407821,5.185907690384494,LYS102-DOR
WT,1,13.426854,5.20103986592275,LYS102-DOR
WT,1,13.627255,5.0124379023651064,LYS102-DOR
WT,1,13.827655,3.9013984288689456,LYS102-DOR
WT,1,13.96648,4.310503709843119,LYS102-DOR
WT,1,14.028056,4.491964031743628,LYS102-DOR
WT,1,14.228457,4.4482600813388435,LYS102-DOR
WT,1,14.428858,4.9889134442760135,LYS102-DOR
WT,1,14.52514,5.1699906427981555,LYS102-DOR
WT,1,14.629259,5.365805068839406,LYS102-DOR
WT,1,14.829659,5.000305563628317,LYS102-DOR
WT,1,15.03006,4.6474888922476865,LYS102-DOR
WT,1,15.083799,4.7106918683361725,LYS102-DOR
WT,1,15.230461,4.883183236127589,LYS102-DOR
WT,1,15.430862,4.496083033950529,LYS102-DOR
WT,1,15.631263,4.4222351924179,LYS102-DOR
WT,1,15.642458,4.486154007537994,LYS102-DOR
WT,1,15.831663,5.56643622413457,LYS102-DOR
WT,1,16.032064,4.529246866221527,LYS102-DOR
WT,1,16.201117,4.216192793660089,LYS102-DOR
WT,1,16.232465,4.158142496062493,LYS102-DOR
WT,1,16.432866,4.272827463170042,LYS102-DOR
WT,1,16.633267,5.115800253886553,LYS102-DOR
WT,1,16.759777,5.218416160810674,LYS102-DOR
WT,1,16.833667,5.278350469265525,LYS102-DOR
WT,1,17.034068,4.725798240007692,LYS102-DOR
WT,1,17.234469,4.699580271184088,LYS102-DOR
WT,1,17.318436,4.864491209764614,LYS102-DOR
WT,1,17.43487,5.093166895320399,LYS102-DOR
WT,1,17.635271,5.221687508473279,LYS102-DOR
WT,1,17.835671,4.459214572004617,LYS102-DOR
WT,1,17.877095,4.518623295164628,LYS102-DOR
WT,1,18.036072,4.746628943958034,LYS102-DOR
WT,1,18.236473,5.056886517300342,LYS102-DOR
WT,1,18.435754,5.252074315567873,LYS102-DOR
WT,1,18.436874,5.253170631158931,LYS102-DOR
WT,1,18.637275,4.9099502071004615,LYS102-DOR
WT,1,18.837675,5.161661340000185,LYS102-DOR
WT,1,18.994413,5.281655425942871,LYS102-DOR
WT,1,19.038076,5.315082509764618,LYS102-DOR
WT,1,19.238477,5.0221019918787935,LYS102-DOR
WT,1,19.438878,5.135235696463454,LYS102-DOR
WT,1,19.553073,4.932718644717402,LYS102-DOR
WT,1,19.639279,4.779841365520975,LYS102-DOR
WT,1,19.839679,5.86701865646189,LYS102-DOR
WT,1,20.04008,5.550171041279201,LYS102-DOR
WT,1,20.111732,5.561327191287699,LYS102-DOR
WT,1,20.240481,5.581373699681096,LYS102-DOR
WT,1,20.440882,5.1287170129978215,LYS102-DOR
WT,1,20.641283,4.69333190749903,LYS102-DOR
WT,1,20.670391,4.70568826921615,LYS102-DOR
WT,1,20.841683,4.778401815706774,LYS102-DOR
WT,1,21.042084,5.477946871646716,LYS102-DOR
WT,1,21.22905,5.021052703537861,LYS102-DOR
WT,1,21.242485,4.988221233613545,LYS102-DOR
WT,1,21.442886,5.1390419231635,LYS102-DOR
WT,1,21.643287,4.983968942006571,LYS102-DOR
WT,1,21.787709,4.74001533467141,LYS102-DOR
WT,1,21.843687,4.645458861063458,LYS102-DOR
WT,1,22.044088,4.680023679076009,LYS102-DOR
WT,1,22.244489,5.010115059690086,LYS102-DOR
WT,1,22.346369,4.979262396161973,LYS102-DOR
WT,1,22.44489,4.949426472356933,LYS102-DOR
WT,1,22.645291,4.454595133387831,LYS102-DOR
WT,1,22.845691,5.193565017612926,LYS102-DOR
WT,1,22.905028,5.017448946865148,LYS102-DOR
WT,1,23.046092,4.598755774504073,LYS102-DOR
WT,1,23.246493,4.897180260018094,LYS102-DOR
WT,1,23.446894,4.669632745614419,LYS102-DOR
WT,1,23.463687,4.724812926779229,LYS102-DOR
WT,1,23.647295,5.328127963556167,LYS102-DOR
WT,1,23.847695,4.438634851653305,LYS102-DOR
WT,1,24.022346,4.7472149743254315,LYS102-DOR
WT,1,24.048096,4.792711424971769,LYS102-DOR
WT,1,24.248497,5.079137153776615,LYS102-DOR
WT,1,24.448898,4.957095378487501,LYS102-DOR
WT,1,24.581006,5.264759422433645,LYS102-DOR
WT,1,24.649299,5.42380404470112,LYS102-DOR
WT,1,24.849699,5.010809140016813,LYS102-DOR
WT,1,25.0501,4.518994742564542,LYS102-DOR
WT,1,25.139665,4.910531232824106,LYS102-DOR
WT,1,25.250501,5.395056326826561,LYS102-DOR
WT,1,25.450902,4.68375888448569,LYS102-DOR
WT,1,25.651303,5.213519340555377,LYS102-DOR
WT,1,25.698324,5.0487693485579275,LYS102-DOR
WT,1,25.851703,4.511367144806911,LYS102-DOR
WT,1,26.052104,5.187610313339054,LYS102-DOR
WT,1,26.252505,4.605121995392362,LYS102-DOR
WT,1,26.256983,4.616214907144037,LYS102-DOR
WT,1,26.452906,5.101557507468427,LYS102-DOR
WT,1,26.653307,4.896174348103671,LYS102-DOR
WT,1,26.815642,4.821327295032656,LYS102-DOR
WT,1,26.853707,4.803776840262286,LYS102-DOR
WT,1,27.054108,4.743283939819228,LYS102-DOR
WT,1,27.254509,4.895471628466004,LYS102-DOR
WT,1,27.374302,4.712286928301653,LYS102-DOR
WT,1,27.45491,4.589023437737709,LYS102-DOR
WT,1,27.655311,4.767792178520538,LYS102-DOR
WT,1,27.855711,5.111457065748091,LYS102-DOR
WT,1,27.932961,4.901444768121271,LYS102-DOR
WT,1,28.056112,4.566642757301456,LYS102-DOR
WT,1,28.256513,4.656841811058754,LYS102-DOR
WT,1,28.456914,5.231464742932436,LYS102-DOR
WT,1,28.49162,5.195390725404012,LYS102-DOR
WT,1,28.657315,5.023164280353603,LYS102-DOR
WT,1,28.857715,4.711019454516132,LYS102-DOR
WT,1,29.050279,4.773534823625944,LYS102-DOR
WT,1,29.058116,4.776079116969835,LYS102-DOR
WT,1,29.258517,4.996400848166079,LYS102-DOR
WT,1,29.458918,5.15766776197506,LYS102-DOR
WT,1,29.608939,4.915962576884501,LYS102-DOR
WT,1,29.659319,4.834793205969671,LYS102-DOR
WT,1,29.859719,4.500985756096188,LYS102-DOR
WT,1,30.06012,5.098615084292435,LYS102-DOR
WT,1,30.167598,4.96349522871809,LYS102-DOR
WT,1,30.260521,4.846672836475312,LYS102-DOR
WT,1,30.460922,4.335478529178691,LYS102-DOR
