penalty,combo_size,feature_combo,feature,coefficient,abs_coefficient,direction,fullfit_best_c,fullfit_best_score,intercept
l2,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,residue_min_distance_LYS101_angstrom_repstd,1.2600312211865698,1.2600312211865698,toward_high,1.0,0.95,0.2063306480313996
l2,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,ligand_pose_rmsd_angstrom_mean,0.9831969718214428,0.9831969718214428,toward_high,1.0,0.95,0.2063306480313996
l2,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,ligand_palm_distance_angstrom_repstd,-0.9000671976499443,0.9000671976499443,toward_low,1.0,0.95,0.2063306480313996
l2,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,residue_min_distance_PRO236_angstrom_mean,0.7145291199081355,0.7145291199081355,toward_high,1.0,0.95,0.2063306480313996
